NRK Nyheter,18593
Days of Our Lives,14806
The Young and the Restless,12791
Sekai no shasô kara,10674
Coronation Street,10640
As the World Turns,10344
Today,10308
Eat Bulaga,10086
Large Test Series,10004
Charlie Rose,9897
The Tonight Show Starring Johnny Carson,9812
ASAP,9652
Ohayou Tokushima,9502
The New Price Is Right,9460
Dagsrevyen,9300
Neighbours,9219
Jeopardy!,9032
The Bold and the Beautiful,9017
Six O'Clock News,9013
Unser Sandmännchen,9007
Emmerdale Farm,8605
Telefe Noticias,8570
One O'Clock News,8456
EastEnders,8325
Waratte iitomo!,8286
General Hospital,8236
All My Children,8077
Wheel of Fortune,8045
Saksi,8023
Home and Away,8022
Countdown,7938
"Gute Zeiten, schlechte Zeiten",7759
Larry King Live,7591
Bom Dia & Cia,7480
Love of Life,7388
The Edge of Night,7317
Judge Judy,7282
WatchMojo,7231
Unter uns,7110
Les 4 vérités,7038
The Doctors,6967
Barátok közt,6778
"Goede tijden, slechte tijden",6770
Tritio Matra,6730
Late Show with David Letterman,6692
Another World,6551
Malhação,6245
Un posto al sole,6093
Game Grumps,5890
The Oprah Winfrey Show,5868
