Annie Rosar
Johannes Brahms
Niceto Alcalá Zamora
Frederick Lewis Allen
Paul H. Allen
Bobby Andrews
André-Paul Antoine
Adele Astaire
Venie Atherton
Antoine Balpêtré
E. Barrington
F. Beauregard
Joe Beckett
Torsten Bergström
Agda Helin
Cliff Blackstone
Eddie Blaisdell
Harry Booker
Harold Brighouse
Edmund Burns
Vannevar Bush
Adrian Byrne
Salvatore Cafiero
Donald Calthrop
Alfonso Cassini
Peter Cheyney
Pierre Schild
Thor Christiernsson
James J. Corbett
Antonio Corsi
Damorès
Andrew Dasburg
Harry Davo
Constance Dawson
Jacques de Féraudy
Sophie de Vries-de Boer
Anna Dewey
Frank Donnellan
Albert Duquesne
Vladimir Durov
Mickey Eissa
Roy Emerton
Howard M. Ewing
Dot Farley
Adele Farrington
Octave Feuillet
Lewin Fitzhamon
Károly Fröhlich
Doug Gould
Dan Sayre Groesback
Walter Haggar
George Cochran Hazelton
Alfred Hemming
Ramsay Hill
Edmund Hohndorf
W.E. Holloway
Marcelle Hontabat
Pliny Horne
Leo Houck
Bruno Hübner
Charlotte Ives
Karel Lamac
Neil Jack
Arthur Johns
Hilja Jorma
Dragoljub Jovanovic
Christen Jul
Juliusz Kalinowski
Lucille Kellar
Jullan Kindahl
Raymond Klages
Pavel Kurzner
Clara E. Laughlin
Delilah Leitzell
Carl Lorens
Lugné-Poe
Leevi Madetoja
Emilius Madsen
E.A. Mario
William Marr
Sam Marsh
John J. Martin
John J. McCloy
Ivor McFadden
Harold McGrath
Harold McLernon
Will Meisel
Lucyna Messal
Beatriz Michelena
Sandra Milovanoff
Alexander Moissi
Mary Moore
Ernie Morrison Sr.
Paul Muni
Peter Nielsen
Marie Nordstrom
George Osborne
Charles Poulton
Kate Prichard
Emilio Pujol
Hans Radon
Katherine S. Reed
Calvin Reisland
James Rennie
Abram Room
Alfred Schirokauer
Harry Seymour
Edith Shayne
Leonard Shepherd
Estelle Short
Charles Sickler
Burt L. Standish
Paul Stanhope
Carl Stephenson
Richard Sterling
Grace Zaring Stone
Ken Strickfaden
Boris Svetlov
John Tait
Gino Talamo
Irene Tams
D.V. Tannlinger
Mollie Terraine
Ruth Thorp
Edwin B. Tilton
H. Ashton Tonge
Ricardo Torres 'Bombita'
Laura Treadwell
Eugène Tucherer
Marcel Vallée
Roy Vickers
Paul Villé
Alice von Saxmar
Maria Waldner
Ernst Waldow
Nils Waldt
Walter Warlimont
John Wells
Ragnar Westfelt
Albert Wetzel
